filename,easyocr_result,cnn_result,hybrid_result,easyocr_yes,cnn_yes,hybrid_yes,hybrid_region_yes,hybrid_letter_yes,hybrid_digits_yes
Vehicle0.jpg,মেট্রো গ ঢাক| ৩৭-৬২৩৮,ঢাকা মেট্রো-গ ৩৭৬২৩৮,ঢাকা মেট্রো গ ৩৭-৬২৩৮,yes,yes,yes,yes,yes,yes
Vehicle1001.jpg,ঢাকা সেট্রো ২৯-৩৫৯২,ঢাকা মেট্রো-গ ২৯৩৫৯২,ঢাকা মেট্রো-গ ২৯-৩৫৯২,n,y,y,y,y,y
Vehicle1003.jpg,ঢাকা মেট্রো: ১৭-২৭৫০,ঢাকা মেট্রো-ঘ ১৭২৭৫০,ঢাকা মেট্রো-ঘ ১৭-২৭৫০,n,y,y,y,y,y
Vehicle10.jpg,রাজমেট্রোব ১১০১৫৭,ঢাকা -ব ১৯০১৬৭,রাজশাহী -ব ১৯০১৬৭,n,n,y,y,y,n
Vehicle1005.jpg,ঢাকা মেেট্রো-চ ১১-৮১৪৪,ঢাকা মেট্রো-খ ১১৮১৪৪,ঢাকা মেট্রো-খ ১১-৮১৪৪,y,n,n,y,n,y
Vehicle103.jpg,ঢাকা মেেট্রো ২৩-৯৪৮,ঢাকা মেট্রো-গ ২৩৯৪৮৯,ঢাকা মেট্রো-গ ২৩৯৪৮৯,n,y,y,y,y,y
Vehicle1042.jpg,ঢক1 :ম'9' ১৩-০৮২৩,ঢাকা মেট্রো-ল ২০৮২৩২,ঢাকা মেট্রো-ল ১৩-০৮২৩,n,n,n,y,n,y
Vehicle102.jpg,রাজ মেট্রো-চ ৫১ং০০৫৬,ঢাকা মেট্রো-চ ৫১০০৫৬,রাজশাহী মেট্রো-চ ৫১-০০৫৬,y,n,y,y,y,y
Vehicle1014.jpg,ঢাকা মেট্রো্গ ২৭-৯৩৬৯,ঢাকা মেট্রো-গ ২৭৯৩৬৯,ঢাকা মেট্রো-গ ২৭-৯৩৬৯,y,y,y,y,y,y
Vehicle1019.jpg,৮1ক! মডটী চ ১৩-৭০১0,ঢাকা -ল ১৭০১০৮,ঢাকা -ল ১৭০১০৮,n,n,n,y,n,y
Vehicle1022.jpg,ঢাকা মেট্রো ১৫-৪২৪১,ঢাকা মেট্রো-গ ১৫৪২৪১,ঢাকা মেট্রো-গ ১৫-৪২৪১,y,y,y,y,y,y
Vehicle1024.jpg,ঢাকা মেট্রো: ১৭-২৭৫০,ঢাকা মেট্রো-ঘ ১৭২৭৫০,ঢাকা মেট্রো-ঘ ১৭-২৭৫০,n,y,y,y,y,y
Vehicle1044.jpg,ঢাশ মেট্রো ২৫-০৩৩৯,ঢাকা মেট্রো-গ ২৫৮০৩৩,ঢাকা মেট্রো-গ ২৫-০৩৩৯,y,y,y,y,y,y
